ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01105,44140,1.000000000,1.000000000,1.000000000,1.000000000
01106,44140,1.000000000,1.000000000,1.000000000,1.000000000
01107,44140,1.000000000,1.000000000,1.000000000,1.000000000
01108,44140,1.000000000,1.000000000,1.000000000,1.000000000
01109,44140,1.000000000,1.000000000,1.000000000,1.000000000
01111,44140,0.000000000,1.000000000,0.000000000,1.000000000
01115,44140,0.000000000,1.000000000,1.000000000,1.000000000
01116,44140,1.000000000,1.000000000,1.000000000,1.000000000
01118,44140,1.000000000,1.000000000,1.000000000,1.000000000
01119,44140,1.000000000,1.000000000,1.000000000,1.000000000
01128,44140,1.000000000,1.000000000,1.000000000,1.000000000
01129,44140,1.000000000,1.000000000,1.000000000,1.000000000
01138,44140,1.000000000,1.000000000,1.000000000,1.000000000
01139,44140,1.000000000,1.000000000,1.000000000,1.000000000
01144,44140,0.000000000,1.000000000,1.000000000,1.000000000
01151,44140,1.000000000,1.000000000,1.000000000,1.000000000
01152,44140,0.000000000,1.000000000,1.000000000,1.000000000
01199,44140,0.000000000,1.000000000,0.000000000,1.000000000
01201,38340,1.000000000,1.000000000,1.000000000,1.000000000
01202,38340,1.000000000,1.000000000,1.000000000,1.000000000
01220,38340,1.000000000,1.000000000,1.000000000,1.000000000
01222,38340,1.000000000,1.000000000,1.000000000,1.000000000
01223,38340,0.998614958,1.000000000,1.000000000,0.998643148
01223,44140,0.001385042,0.000000000,0.000000000,0.001356852
01224,38340,1.000000000,0.000000000,1.000000000,1.000000000
01225,38340,1.000000000,1.000000000,1.000000000,1.000000000
01226,38340,1.000000000,1.000000000,1.000000000,1.000000000
01227,38340,1.000000000,1.000000000,1.000000000,1.000000000
01229,38340,0.000000000,1.000000000,1.000000000,1.000000000
01230,38340,1.000000000,1.000000000,1.000000000,1.000000000
01235,38340,0.957364341,0.979591837,1.000000000,0.963355049
01235,44140,0.042635659,0.020408163,0.000000000,0.036644951
01236,38340,1.000000000,1.000000000,1.000000000,1.000000000
01237,38340,1.000000000,1.000000000,1.000000000,1.000000000
01238,38340,1.000000000,1.000000000,1.000000000,1.000000000
01240,38340,1.000000000,1.000000000,1.000000000,1.000000000
01242,38340,0.000000000,0.000000000,1.000000000,1.000000000
