GEOID1,STATE,NET_COUNTY,NET_PERM,NET_TEMP,NET_RESIDENTIAL,FULL1_NAME,net,difference
6085,CA,-16993,-19544,2278,-15928,"Santa Clara County, California",-18313,-1320
72103,PR,15,34,0,29,"Naguabo Municipio, Puerto Rico",-1290,-1305
51145,VA,1192,1145,59,1335,"Powhatan County, Virginia",-112,-1304
48453,TX,3454,3395,-388,3569,"Travis County, Texas",2160,-1294
12043,FL,1984,-445,2489,1916,"Glades County, Florida",712,-1272
12115,FL,11596,-1270,12868,10808,"Sarasota County, Florida",10326,-1270
51075,VA,1693,1602,51,1501,"Goochland County, Virginia",439,-1254
20209,KS,-1825,-1808,-108,-1735,"Wyandotte County, Kansas",-3059,-1234
6055,CA,-971,-1308,411,-1063,"Napa County, California",-2189,-1218
26093,MI,-1038,644,-1734,-881,"Livingston County, Michigan",-2242,-1204
24025,MD,132,-27,89,304,"Harford County, Maryland",-1069,-1201
51001,VA,39,100,-32,48,"Accomack County, Virginia",-1159,-1198
36063,NY,-1131,-590,-579,-1027,"Niagara County, New York",-2328,-1197
47001,TN,201,254,-117,168,"Anderson County, Tennessee",-995,-1196
19193,IA,-1333,-940,-203,-937,"Woodbury County, Iowa",-2509,-1176
27037,MN,-1390,-17,-1432,-1130,"Dakota County, Minnesota",-2557,-1167
45049,SC,77,46,0,137,"Hampton County, South Carolina",-1089,-1166
35015,NM,-306,-393,52,-263,"Eddy County, New Mexico",-1456,-1150
72027,PR,155,121,0,121,"Camuy Municipio, Puerto Rico",-984,-1139
72115,PR,191,185,30,229,"Quebradillas Municipio, Puerto Rico",-941,-1132
72143,PR,121,121,12,44,"Vega Alta Municipio, Puerto Rico",-1008,-1129
28093,MS,923,900,27,884,"Marshall County, Mississippi",-206,-1129
35049,NM,1629,1153,479,1462,"Santa Fe County, New Mexico",502,-1127
51093,VA,291,276,-22,247,"Isle of Wight County, Virginia",-835,-1126
53005,WA,-1162,-954,-239,-1103,"Benton County, Washington",-2288,-1126
22089,LA,54,13,-15,191,"St. Charles Parish, Louisiana",-1061,-1115
72131,PR,194,217,0,203,"San Sebastián Municipio, Puerto Rico",-916,-1110
18059,IN,464,767,-242,636,"Hancock County, Indiana",-640,-1104
1097,AL,-2681,-2987,57,-2982,"Mobile County, Alabama",-3776,-1095
16045,ID,1221,1370,-176,1144,"Gem County, Idaho",127,-1094
72101,PR,61,73,0,15,"Morovis Municipio, Puerto Rico",-1023,-1084
1009,AL,-258,-213,-33,-344,"Blount County, Alabama",-1341,-1083
47119,TN,1372,1353,9,1320,"Maury County, Tennessee",294,-1078
53065,WA,-6,484,-428,-139,"Stevens County, Washington",-1082,-1076
45075,SC,-627,-642,7,-738,"Orangeburg County, South Carolina",-1696,-1069
12093,FL,1291,-256,1534,1276,"Okeechobee County, Florida",222,-1069
51177,VA,735,806,-163,750,"Spotsylvania County, Virginia",-320,-1055
72007,PR,-46,-37,0,-70,"Aguas Buenas Municipio, Puerto Rico",-1093,-1047
37195,NC,110,87,8,-125,"Wilson County, North Carolina",-929,-1039
21193,KY,-89,-94,0,-136,"Perry County, Kentucky",-1116,-1027
51041,VA,1002,907,154,1328,"Chesterfield County, Virginia",-21,-1023
47009,TN,-224,-71,-236,-207,"Blount County, Tennessee",-1235,-1011
48067,TX,-113,-100,0,-88,"Cass County, Texas",-1121,-1008
40131,OK,-406,-438,41,-334,"Rogers County, Oklahoma",-1410,-1004
72047,PR,9,25,0,-13,"Corozal Municipio, Puerto Rico",-994,-1003
13211,GA,578,524,13,406,"Morgan County, Georgia",-413,-991
72019,PR,41,43,0,56,"Barranquitas Municipio, Puerto Rico",-948,-989
27171,MN,-27,924,-977,75,"Wright County, Minnesota",-1015,-988
47169,TN,859,854,-15,942,"Trousdale County, Tennessee",-122,-981
6101,CA,74,-219,273,47,"Sutter County, California",-907,-981
72029,PR,113,39,88,240,"Canóvanas Municipio, Puerto Rico",-853,-966
41017,OR,1027,1403,-388,1143,"Deschutes County, Oregon",66,-961
47113,TN,-98,-94,-16,-69,"Madison County, Tennessee",-1050,-952
72001,PR,8,3,0,8,"Adjuntas Municipio, Puerto Rico",-935,-943
54059,WV,36,46,-11,-28,"Mingo County, West Virginia",-904,-940
35043,NM,1351,1376,-147,964,"Sandoval County, New Mexico",423,-928
37169,NC,458,528,-54,526,"Stokes County, North Carolina",-469,-927
38053,ND,357,240,114,366,"McKenzie County, North Dakota",-561,-918
6021,CA,159,21,141,188,"Glenn County, California",-758,-917
13001,GA,-864,-861,-14,-849,"Appling County, Georgia",-1780,-916
54047,WV,-126,-111,0,-135,"McDowell County, West Virginia",-1035,-909
2180,AK,-60,-52,6,-27,"Nome Census Area, Alaska",-963,-903
48013,TX,500,462,41,570,"Atascosa County, Texas",-400,-900
39087,OH,-720,-597,-48,-777,"Lawrence County, Ohio",-1602,-882
53043,WA,-27,125,-117,-43,"Lincoln County, Washington",-900,-873
47003,TN,-591,-536,-67,-554,"Bedford County, Tennessee",-1461,-870
47075,TN,-172,-119,-42,-201,"Haywood County, Tennessee",-1037,-865
72121,PR,183,171,0,200,"Sabana Grande Municipio, Puerto Rico",-672,-855
40037,OK,-949,-834,-94,-1071,"Creek County, Oklahoma",-1803,-854
46102,SD,-4,-17,0,-13,"Oglala Lakota County, South Dakota",-854,-850
